SellingPrice,PackCostCurrency,RangeDetail1,RangeDetail2,RangeDetail3,Season Code,Description,Basic Till,LastCostPrice,DefaultPrice,NormalPrice,ProductType,Measure,RangeCode1,RangeCode2,PosGroupCode,TicketType1,SupplierCode,SupplierReference,BrandCode,RangeCode3,LeadTime,VATCode,SalesDiscountAllowed,DepartmentCode,SectionCode,SubSection,Barcode
12,4,BLACK,S,BLACKWHITE,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,BLACK,M,BLACKWHITE,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,BLACK,L,BLACKWHITE,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,BLACK,XL,BLACKWHITE,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,BLACK,XXL,BLACKWHITE,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,CHOCOLATE,S,FALCON,123,SS23 12156101 NOOS - JJEORGANIC BASIC TEE SS O-NECK NOOS,SS23 12156101,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,CHOCOLATE,M,FALCON,123,SS23 12156101 NOOS - JJEORGANIC BASIC TEE SS O-NECK NOOS,SS23 12156101,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,CHOCOLATE,L,FALCON,123,SS23 12156101 NOOS - JJEORGANIC BASIC TEE SS O-NECK NOOS,SS23 12156101,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,CHOCOLATE,XL,FALCON,123,SS23 12156101 NOOS - JJEORGANIC BASIC TEE SS O-NECK NOOS,SS23 12156101,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,CHOCOLATE,XXL,FALCON,123,SS23 12156101 NOOS - JJEORGANIC BASIC TEE SS O-NECK NOOS,SS23 12156101,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,NAVY,S,NAVYBLAZERCHILI,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,NAVY,M,NAVYBLAZERCHILI,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,NAVY,L,NAVYBLAZERCHILI,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,NAVY,XL,NAVYBLAZERCHILI,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4.29,NAVY,XXL,NAVYBLAZERCHILI,123,SS23 12205022 NOOS - JJESHARK TEE SS CREW NECK NOOS,SS23 12205022,4.29,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,GREY,S,FLINTSTONE,123,SS23 12210949 NOOS - JJEJEANS TEE SS O-NECK NOOS 22/23,SS23 12210949,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,GREY,M,FLINTSTONE,123,SS23 12210949 NOOS - JJEJEANS TEE SS O-NECK NOOS 22/23,SS23 12210949,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,GREY,L,FLINTSTONE,123,SS23 12210949 NOOS - JJEJEANS TEE SS O-NECK NOOS 22/23,SS23 12210949,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
12,4,GREY,XL,FLINTSTONE,123,SS23 12210949 NOOS - JJEJEANS TEE SS O-NECK NOOS 22/23,SS23 12210949,4,12,12,UNIT,QUANTITY,COLOUR,SIZE,1,1,81259,12345,JAJ,81259,30,1,Y,,,,
