brand_code,supplier_number
AIS,80845
AME,81086
ANM,81334
APE,81371
BBW,81355
BBY,81265
BED,81030
BHL,81134
BKE,81387
BLG,81340
BMF,81392
BOA,80854
BUR,80986
CDT,81373
CFD,81020
CHC,81145
CHE,81214
CHH,81365
CIT,81382
CKI,81332
COU,81338
CPR,81301
CPT,81401
CRB,81359
CRG,81398
CTL,81117
DCS,81267
DDE,81180
DEY,81108
DKA,81388
DKB,81113
DKC,81361
DMD,81360
DPC,81125
DRC,81140
DXL,81310
DYP,81381
EDI,81088
EPE,81089
ERS,81300
EUL,81053
EUS,81391
EYE,81353
FAN,80881
FAY,81241
FHC,81377
FIK,81394
FKA,81243
FNJ,81176
FRN,80294
GBC,81372
GDB,81293
GEH,81091
GFW,81178
GLD,81336
GLK,81071
GOD,80324
GOS,80326
GOU,80890
GRD,80892
GWL,81114
HAC,81366
HOR,81092
HOT,81285
HSC,81404
HSR,81341
ICI,81112
IFL,81364
INX,80992
JAJ,81286
JBR,81309
JDV,81027
JEW,81308
JGL,81038
JOC,81354
JOU,81032
JWN,81279
JWP,81094
KIP,80989
KIT,81311
KUR,81370
LAL,81342
LEP,80912
LGR,81269
LUL,81385
MCC,81158
MDB,81059
MDR,81003
MEY,81096
MIS,81333
MIX,81322
MOR,81115
MSP,81356
MTC,80563
MUD,81282
MUI,81175
MYH,81206
NOV,80922
NVB,80923
OAN,81376
OLE,81247
PER,81024
PGB,81256
PHA,81400
PIH,81097
PLT,80928
PMG,81386
PMK,80929
PND,81278
PPE,81328
PPU,81389
PRP,80934
PTM,81119
PTT,81405
PUF,81347
RAR,81098
RGA,81242
RJB,81283
RKU,80937
RKW,81105
RXL,81363
SAB,81212
SCC,81357
SCS,81061
SDW,81393
SGL,81384
SKC,81395
SLT,81259
STO,81144
SUD,81326
SUO,81238
TAU,80758
TCK,81380
TDL,80952
TEW,81100
TGW,81099
TLC,81344
TLG,81210
TLT,81304
TOT,80955
TRD,81141
TRE,81080
TRI,80957
UKD,81396
ULW,81069
UPG,81331
VEM,81307
VIJ,80960
VJF,81013
WAX,81101
WFL,81239
WTS,81273

